LTE基站接入点数,地市,带宽,接入OLT个数,日峰值利用率,日峰值流速,日忙时均值利用率,日忙时均值流速,日期,是否接入LTE基站,是否接入OLT,环名称,环的总节点数,省,分类
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,西万汇聚接入环1-西万汇聚-西万镇南石化监控,1.0,河南,接入层
0.0,焦作,1,0.0,0.00436,4.36,0.00434,4.34,20200301,否,否,修武县接入环18-东夏庄-李固-中铝石化监控（集客）链,1.0,河南,接入层
20.0,焦作,10,0.0,0.48225999999999997,482.26,0.45671,456.71,20200301,是,否,武陟县接入环3-黄河集团-大封,12.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,焦作市接入环双跨环12-迎宾馆东北角-西于村安置小区-西于村室分,1.0,河南,接入层
18.0,焦作,GE,0.0,0.15919999999999998,159.2,0.13055,130.55,20200301,是,否,沁阳接入环27-移动公司-朱庄北,6.0,河南,接入层
16.0,焦作,1,0.0,0.02831,28.31,0.027739999999999997,27.74,20200301,是,否,博爱接入环15-月山政府-寨豁,8.0,河南,接入层
0.0,焦作,1,0.0,0.00086,0.86,0.00076,0.76,20200301,否,否,生产楼核心3链4-水利局VPN（数据）,1.0,河南,接入层
6.0,焦作,1,0.0,0.0653,65.3,0.0508,50.8,20200301,是,否,修武县接入环11-裕国庄北-千仓,5.0,河南,接入层
10.0,焦作,1,0.0,0.12812,128.12,0.12439,124.39,20200301,是,否,博爱接入环6-新高庙-高庙2,3.0,河南,接入层
6.0,焦作,1,0.0,0.08234999999999999,82.35,0.05026,50.26,20200301,是,否,温县接入环15-韩郭作-西郭作,2.0,河南,接入层
2.0,焦作,1,0.0,0.02907,29.07,0.024480000000000002,24.48,20200301,是,否,生产楼接入环2-农信小区-市区图书馆-美中城室分链,1.0,河南,接入层
0.0,焦作,2,0.0,0.7989400000000001,798.94,0.78212,782.12,20200301,否,否,孟州接入环31-孟州机房数据-孟州机房数据2,4.0,河南,接入层
52.0,焦作,1,0.0,0.12986,129.86,0.11105,111.05,20200301,是,否,焦作市区接入环24-卫校西街-医药局-铁路电缆厂灯杆,1.0,河南,接入层
34.0,焦作,10,0.0,0.36917,369.17,0.35821,358.21,20200301,是,否,焦作市接入环双跨环3-造店-新发地,14.0,河南,接入层
88.0,焦作,20,0.0,0.5619500000000001,561.95,0.5175700000000001,517.57,20200301,是,否,焦作市接入环双跨环4-焦大教学楼-豫龙商贸城,6.0,河南,接入层
48.0,焦作,10,0.0,0.33676999999999996,336.77,0.31864,318.64,20200301,是,否,新新家园接入环5-万方电影院-焦作商厦,9.0,河南,接入层
6.0,焦作,1,0.0,0.08742,87.42,0.08048999999999999,80.49,20200301,是,否,修武县接入环22-修武机房数据3-修武机房数据,3.0,河南,接入层
46.0,焦作,1,0.0,0.03841,38.41,0.029920000000000002,29.92,20200301,是,否,焦作银发接入环2-鑫鑫小区-重型机械厂,4.0,河南,接入层
8.0,焦作,1,0.0,0.03669,36.69,0.03031,30.31,20200301,是,否,生产楼核心一链27-龙源世家室分,3.0,河南,接入层
2.0,焦作,1,0.0,0.01558,15.58,0.01239,12.39,20200301,是,否,温县接入链1-后岗,1.0,河南,接入层
4.0,焦作,1,0.0,0.006690000000000001,6.69,0.006679999999999999,6.68,20200301,是,否,修武县接入环9-方庄-新王庄-云台天阶链,1.0,河南,接入层
10.0,焦作,1,0.0,0.06961,69.61,0.05887,58.87,20200301,是,否,沁阳接入环7-西王占-王占汇聚,0.0,河南,接入层
7.0,焦作,1,0.0,0.07904000000000001,79.04,0.06848,68.48,20200301,是,否,焦作市南北苑链2-南北苑数据,2.0,河南,接入层
2.0,焦作,1,0.0,0.08954999999999999,89.55,0.08637,86.37,20200301,是,否,修武县双跨接入环13-大文案-大位村,4.0,河南,接入层
2.0,焦作,1,0.0,0.00575,5.75,0.0039900000000000005,3.99,20200301,是,否,生产楼核心一链19-山阳区政府室分,1.0,河南,接入层
0.0,焦作,4,0.0,0.12838999999999998,128.39,0.12444,124.44,20200301,否,否,修武县接入环6-修武县委-财政局室分,4.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,高新区核心一链8-百大嘉园建行,1.0,河南,接入层
16.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,沁阳接入环9-葛村-大海科技,4.0,河南,接入层
4.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,银发接入环4-澳门豆捞-解放区人民检察院,2.0,河南,接入层
22.0,焦作,1,0.0,0.31222000000000005,312.22,0.28558999999999996,285.59,20200301,是,否,博爱接入环40-博十街村委会-九街居委会,10.0,河南,接入层
18.0,焦作,1,0.0,0.07475,74.75,0.06605,66.05,20200301,是,否,温县接入环6-滩路庄-西张王庄,8.0,河南,接入层
8.0,焦作,1,0.0,0.03699,36.99,0.03337,33.37,20200301,是,否,中站接入链1-丽水金沙-西城家园,1.0,河南,接入层
14.0,焦作,1,0.0,0.24246,242.46,0.23374,233.74,20200301,是,否,孟州接入环13-谷旦-北那沟东北,8.0,河南,接入层
4.0,焦作,1,0.0,0.00751,7.51,0.00533,5.33,20200301,是,否,博爱接入环26-博爱高级中学-西城2,2.0,河南,接入层
12.0,焦作,1,0.0,0.27604,276.04,0.22097999999999998,220.98,20200301,是,否,武陟县接入环33-新圪垱店-雁赵庄,0.0,河南,接入层
32.0,焦作,1,0.0,0.24965,249.65,0.23964,239.64,20200301,是,否,焦作接入环6-多氟多-辛庄,9.0,河南,接入层
18.0,焦作,1,0.0,0.24025,240.25,0.22049000000000002,220.49,20200301,是,否,武陟县接入环40-周村(电信)-雁赵庄,6.0,河南,接入层
12.0,焦作,1,0.0,0.08245000000000001,82.45,0.08122,81.22,20200301,是,否,武陟县接入环33-新圪垱店2-武陟观音堂,7.0,河南,接入层
32.0,焦作,10,0.0,0.25028,250.28,0.23198,231.98,20200301,是,否,银发接入环4-澳门豆捞2-解放区人民检察院,8.0,河南,接入层
0.0,焦作,1,0.0,0.00026000000000000003,0.26,0.00026000000000000003,0.26,20200301,否,否,沁阳接入链3-人寿财险,1.0,河南,接入层
28.0,焦作,2,0.0,0.0,0.0,0.0,0.0,20200301,是,否,武陟县接入链4-祥和物流,2.0,河南,接入层
22.0,焦作,GE,0.0,0.33357,333.57,0.32465,324.65,20200301,是,否,博爱接入环34-阳庙-博爱阳邑,5.0,河南,接入层
6.0,焦作,1,0.0,0.10135,101.35,0.09137,91.37,20200301,是,否,温县接入环32-林庄-前张庄,3.0,河南,接入层
10.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,沁阳接入环36-东两水-廖屯,2.0,河南,接入层
16.0,焦作,10,0.0,0.29264999999999997,292.65,0.2911,291.1,20200301,是,否,孟州接入环9-孟州南关2-西沃,9.0,河南,接入层
0.0,焦作,1,0.0,0.21849000000000002,218.49,0.21568,215.68,20200301,否,否,孟州链3-孟州网络经济发展促进中心,1.0,河南,接入层
2.0,焦作,1,0.0,0.045219999999999996,45.22,0.040740000000000005,40.74,20200301,是,否,博爱链2-宏基2,2.0,河南,接入层
76.0,焦作,10,0.0,0.55684,556.84,0.5179400000000001,517.94,20200301,是,否,焦作市区接入环25-卫校西街-解放士林村西南基站（铁塔）,16.0,河南,接入层
18.0,焦作,1,0.0,0.06131,61.31,0.0544,54.4,20200301,是,否,焦作市区10G接入环1-高新数据-生产楼数据,3.0,河南,接入层
0.0,焦作,1,0.0,0.024730000000000002,24.73,0.02159,21.59,20200301,否,否,新新家园链10-山阳区人社局,1.0,河南,接入层
86.0,焦作,2,0.0,0.46722,467.22,0.43432,434.32,20200301,是,否,中站接入环1-丽水金沙-田涧,12.0,河南,接入层
24.0,焦作,10,0.0,0.13093000000000002,130.93,0.12440000000000001,124.4,20200301,是,否,焦作市区接入环10-芦堡-南李万,4.0,河南,接入层
24.0,焦作,10,0.0,0.12966999999999998,129.67,0.12362000000000001,123.62,20200301,是,否,焦作市接入环双跨环14-龙湖玖号酒店-东王储,4.0,河南,接入层
2.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,焦作市接入环双跨环9-杨庄小学-大北张-杨庄东南500米,1.0,河南,接入层
84.0,焦作,10,0.0,0.2693,269.3,0.2516,251.6,20200301,是,否,1焦作市接入环双跨环9-杨庄小学-大北张,3.0,河南,接入层
4.0,焦作,10,0.0,0.0,0.0,0.0,0.0,20200301,是,否,武陟县接入环1-西陶口-中司徒,5.0,河南,接入层
52.0,焦作,10,0.0,0.18646000000000001,186.46,0.16452,164.52,20200301,是,否,焦作市区接入环10-新体育馆2-师专2,8.0,河南,接入层
86.0,焦作,10,0.0,0.536,536.0,0.5032300000000001,503.23,20200301,是,否,武陟县接入环19-职高北-歌乐苑,11.0,河南,接入层
0.0,焦作,1,0.0,0.0016200000000000001,1.62,0.0012900000000000001,1.29,20200301,否,否,马村接入环1-马村公交公司-马村办事处--马村泰康人寿链,1.0,河南,接入层
2.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,焦作市接入环双跨环3-造店-新发地链,1.0,河南,接入层
8.0,焦作,1,0.0,0.00364,3.64,0.0023799999999999997,2.38,20200301,是,否,焦作市区接入环24-卫校西街-医药局-春光家属院链,2.0,河南,接入层
78.0,焦作,10,0.0,0.65666,656.66,0.61485,614.85,20200301,是,否,新新家园接入环7-新摩配城-康馨苑小区南,12.0,河南,接入层
22.0,焦作,10,0.0,0.22188,221.88,0.20568999999999998,205.69,20200301,是,否,焦作接入环4-二分局-学生路基站,8.0,河南,接入层
38.0,焦作,10,0.0,0.46431,464.31,0.43481000000000003,434.81,20200301,是,否,焦作市南北苑接入环3-老十七中-焦东百货,12.0,河南,接入层
52.0,焦作,20,0.0,0.38159,381.59,0.37201999999999996,372.02,20200301,是,否,焦作市南北苑接入环2-创远机械厂-中惠食品厂,10.0,河南,接入层
84.0,焦作,10,0.0,0.12572,125.72,0.12251999999999999,122.52,20200301,是,否,修武县接入环3-中铝联通-新王庄(10G),1.0,河南,接入层
70.0,焦作,11,0.0,0.48752,487.52,0.45539999999999997,455.4,20200301,是,否,生产楼接入环7-大别山商务酒店-农信小区,13.0,河南,接入层
68.0,焦作,10,0.0,0.37927999999999995,379.28,0.34994,349.94,20200301,是,否,新新家园接入环2-轮胎厂医院-豫轮宾馆,5.0,河南,接入层
2.0,焦作,10,0.0,0.0,0.0,0.0,0.0,20200301,是,否,武陟县接入环21-西陶基站-岳庄,8.0,河南,接入层
0.0,焦作,1,0.0,2e-05,0.02,2e-05,0.02,20200301,否,否,焦作市马村接入环2-中轴-博丽建材南-青岛汉缆链,1.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,武陟县接入链8-武陟公安局（数据）,1.0,河南,接入层
0.0,焦作,1,0.0,0.00219,2.19,0.00218,2.18,20200301,否,否,孟州接入环31-孟州机房数据-孟州机房数据2-孟州地税局链,1.0,河南,接入层
0.0,焦作,1,0.0,0.14312,143.12,0.12188,121.88,20200301,否,否,孟州接入环31-孟州机房数据-孟州机房数据2-中医院链,1.0,河南,接入层
