PTN核心链路名称,地市,备注,日期,省,链路带宽(10GE/40GE),链路日峰值利用率(填百分数),链路日峰值流速(Mb),链路日忙时均值利用率(填百分数),链路日忙时均值流速(Mb),分类
	#@!JIZCORELINK(46)$焦作市核心落地环2-1011-生产楼落地一:1001-生产楼核心1-子架1-10-TPA1EX8S-2(1011-生产楼12-EX2-2)-1011-生产楼落地1-子架1-10-TPA1EX8S-2(1001-生产楼13-EX2-2),焦作,0.0,20200302,河南,10,8.56%,856.0,8.12%,811.59,核心链路
	#@!JIZCORELINK(46)$焦作市核心落地环2-1011-生产楼落地一:1015-生产楼核心3-子架1-4-TPA1EX8S-2(1011-生产楼7-EX2-2)-1011-生产楼落地1-子架1-3-TPA1EX8S-2(1015-生产楼8-EX2-2),焦作,0.0,20200302,河南,10,30.00%,3000.0,28.53%,2853.01,核心链路
	#@!JIZCORELINK(47)$焦作市核心落地环4-1010-生产楼落地二:1014-生产楼核心4-子架1-10-TPA1EX8S-1(1010-生产楼12-EX2-2)-1010-生产楼落地2-子架1-10-TPA1EX8S-2(1014-生产楼11-EX2-2),焦作,0.0,20200302,河南,10,4.10%,410.0,2.77%,277.41,核心链路
	#@!JIZCORELINK(4)$:8002-生产楼-L3-子架1-15-TPA1EX8S-2(OTN8002-生产楼133-TQX-3)-8013-孟州-主L2/L3-1-子架1-4-TPA1EX8-2(OTN5001-孟州413-TQX-3),焦作,0.0,20200302,河南,10,16.00%,1600.0,12.96%,1296.17,核心链路
	#@!JIZCORELINK(4)$:8013-孟州-主L2/L3-1-子架1-4-TPA1EX8-3(OTN5001-孟州411-TQX-1)-8002-生产楼-L3-子架1-15-TPA1EX8S-3(OTN8002-生产楼122-TQX-1),焦作,0.0,20200302,河南,10,17.00%,1700.0,13.08%,1307.54,核心链路
	#@!JIZCORELINK(4)$:8013-孟州-主L2/L3-1-子架1-4-TPA1EX8-4(OTN5001-孟州413-TQX-2)-8002-生产楼-L3-子架1-15-TPA1EX8S-4(OTN8002-生产楼134-TQX-2),焦作,0.0,20200302,河南,10,16.00%,1600.0,13.02%,1301.88,核心链路
	#@!JIZCORELINK(4)$:8013-孟州-主L2/L3-1-子架1-4-TPA1EX8-5(OTN5001-孟州411-TQX-3)-8002-生产楼-L3-子架1-15-TPA1EX8S-5(OTN8002-生产楼122-TQX-3),焦作,0.0,20200302,河南,10,16.00%,1600.0,12.69%,1269.49,核心链路
	#@!JIZCORELINK(48)$焦作市核心落地环4:1007-生产楼核心2替换-子架1-10-TPA1EX8S-2(1010-生产楼7-Ex2-2)-1010-生产楼落地2-子架1-3-TPA1EX8S-2(1007-生产楼13-EX2-1),焦作,0.0,20200302,河南,10,0.00%,0.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(4)$:LTE骨干调度环5-焦作市:8002-生产楼-L3-子架1-15-TPA1EX8S-1(OTN8002-生产楼122-TQX-2)-8013-孟州-主L2/L3-1-子架1-4-TPA1EX8-1(OTN5000-孟州411-TQX-2),焦作,0.0,20200302,河南,10,15.00%,1500.0,12.35%,1235.28,核心链路
	#@!JIZCORELINK(53)$焦作市核心落地环8-1009-高新落地二:1007-生产楼核心2替换-子架1-9-TPA1EX8S-1(1006-高新13-2对接)-1006-高新核心2-13-82EX2-2(1007-生产楼-6-EX2-2),焦作,0.0,20200302,河南,10,1.14%,113.72,1.11%,110.63,核心链路
	#@!JIZCORELINK(55)$焦作市核心调度环1-生产楼-高新区:1014-生产楼核心4-子架1-9-TPA1EX8S-2(1006-高新-13-EX2-1)-1006-高新核心2-13-82EX2-1(1014-生产楼-13-EX2-1),焦作,0.0,20200302,河南,10,2.90%,290.0,2.18%,218.4,核心链路
	#@!JIZCORELINK(5)$:8013-孟州-主L2/L3-1-子架1-5-TPA1EX8-3(PORT-3)-8014-凤凰路-备L2/L3-2-子架1-5-TPA1EX8-3(PORT-3),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,1.04,核心链路
	#@!JIZCORELINK(5)$:8013-孟州-主L2/L3-1-子架1-5-TPA1EX8-4(PORT-4)-8014-凤凰路-备L2/L3-2-子架1-5-TPA1EX8-4(PORT-4),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,0.89,核心链路
	#@!JIZCORELINK(5)$:8013-孟州-主L2/L3-1-子架1-5-TPA1EX8-5(PORT-5)-8014-凤凰路-备L2/L3-2-子架1-5-TPA1EX8-5(PORT-5),焦作,0.0,20200302,河南,10,0.03%,3.0,0.01%,1.1,核心链路
	#@!JIZCORELINK(5)$:8013-孟州-主L2/L3-1-子架1-6-TPA1EX8-3(PORT-3)-8014-凤凰路-备L2/L3-2-子架1-6-TPA1EX8-3(PORT-3),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.12,核心链路
	#@!JIZCORELINK(5)$:8013-孟州-主L2/L3-1-子架1-6-TPA1EX8-4(PORT-4)-8014-凤凰路-备L2/L3-2-子架1-6-TPA1EX8-4(PORT-4),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.12,核心链路
